title,author,size,location,technique,url,image
One,Alex Casquete,"19x24.8 cm",Blanes,Acrylic on Canvas,one,one
Two,Alex Casquete,"19x24.8 cm",Barcelona,Acrylic on Canvas,two,two
Three,Alex Casquete,"19x24.8 cm",Barcelona,Acrylic on Canvas,three,three
